"rgi_id","rgi_g_id","segment_id","is_main","outflow_id","strahler_n","length_m"
"RGI2000-v7.0-L-01-00199","RGI2000-v7.0-G-01-00190",0,1,-1,1,448
"RGI2000-v7.0-L-01-00200","RGI2000-v7.0-G-01-00191",0,1,-1,1,1648
"RGI2000-v7.0-L-01-00201","RGI2000-v7.0-G-01-00192",0,1,-1,1,960
"RGI2000-v7.0-L-01-00202","RGI2000-v7.0-G-01-00193",0,1,-1,1,763
"RGI2000-v7.0-L-01-00203","RGI2000-v7.0-G-01-00194",0,1,-1,1,1504
"RGI2000-v7.0-L-01-00204","RGI2000-v7.0-G-01-00195",0,1,-1,1,466
"RGI2000-v7.0-L-01-00205","RGI2000-v7.0-G-01-00196",0,0,1,1,457
"RGI2000-v7.0-L-01-00206","RGI2000-v7.0-G-01-00196",1,1,-1,2,1655
"RGI2000-v7.0-L-01-00207","RGI2000-v7.0-G-01-00197",0,1,-1,1,906
"RGI2000-v7.0-L-01-00208","RGI2000-v7.0-G-01-00198",0,1,-1,1,907
"RGI2000-v7.0-L-01-00209","RGI2000-v7.0-G-01-00199",0,0,2,1,1283
"RGI2000-v7.0-L-01-00210","RGI2000-v7.0-G-01-00199",1,0,2,1,800
"RGI2000-v7.0-L-01-00211","RGI2000-v7.0-G-01-00199",2,1,-1,2,1966
"RGI2000-v7.0-L-01-00212","RGI2000-v7.0-G-01-00200",0,1,-1,1,1198
"RGI2000-v7.0-L-01-00213","RGI2000-v7.0-G-01-00201",0,0,1,1,420
"RGI2000-v7.0-L-01-00214","RGI2000-v7.0-G-01-00201",1,1,-1,2,791
"RGI2000-v7.0-L-01-00215","RGI2000-v7.0-G-01-00202",0,1,-1,1,244
"RGI2000-v7.0-L-01-00216","RGI2000-v7.0-G-01-00203",0,1,-1,1,419
"RGI2000-v7.0-L-01-00217","RGI2000-v7.0-G-01-00204",0,1,-1,1,4781
"RGI2000-v7.0-L-01-00218","RGI2000-v7.0-G-01-00205",0,1,-1,1,2801
"RGI2000-v7.0-L-01-00219","RGI2000-v7.0-G-01-00206",0,1,-1,1,2266
"RGI2000-v7.0-L-01-00220","RGI2000-v7.0-G-01-00207",0,1,-1,1,309
"RGI2000-v7.0-L-01-00221","RGI2000-v7.0-G-01-00208",0,0,2,1,1125
"RGI2000-v7.0-L-01-00222","RGI2000-v7.0-G-01-00208",1,0,2,1,853
"RGI2000-v7.0-L-01-00223","RGI2000-v7.0-G-01-00208",2,1,-1,2,3155
"RGI2000-v7.0-L-01-00224","RGI2000-v7.0-G-01-00209",0,1,-1,1,617
"RGI2000-v7.0-L-01-00225","RGI2000-v7.0-G-01-00210",0,0,1,1,1220
"RGI2000-v7.0-L-01-00226","RGI2000-v7.0-G-01-00210",1,1,-1,2,3959
"RGI2000-v7.0-L-01-00227","RGI2000-v7.0-G-01-00211",0,1,-1,1,561
"RGI2000-v7.0-L-01-00228","RGI2000-v7.0-G-01-00212",0,1,-1,1,296
"RGI2000-v7.0-L-01-00229","RGI2000-v7.0-G-01-00213",0,1,-1,1,440
"RGI2000-v7.0-L-01-00230","RGI2000-v7.0-G-01-00214",0,1,-1,1,325
"RGI2000-v7.0-L-01-00231","RGI2000-v7.0-G-01-00215",0,1,-1,1,618
"RGI2000-v7.0-L-01-00232","RGI2000-v7.0-G-01-00216",0,1,-1,1,367
"RGI2000-v7.0-L-01-00233","RGI2000-v7.0-G-01-00217",0,1,-1,1,1576
"RGI2000-v7.0-L-01-00234","RGI2000-v7.0-G-01-00218",0,0,1,1,609
"RGI2000-v7.0-L-01-00235","RGI2000-v7.0-G-01-00218",1,0,2,2,901
"RGI2000-v7.0-L-01-00236","RGI2000-v7.0-G-01-00218",2,1,-1,3,3433
"RGI2000-v7.0-L-01-00237","RGI2000-v7.0-G-01-00219",0,0,2,1,1266
"RGI2000-v7.0-L-01-00238","RGI2000-v7.0-G-01-00219",1,0,2,1,1019
"RGI2000-v7.0-L-01-00239","RGI2000-v7.0-G-01-00219",2,1,-1,2,3364
"RGI2000-v7.0-L-01-00240","RGI2000-v7.0-G-01-00220",0,1,-1,1,515
